EmployeeID,Salary,,City,Country,Gender,Hire Date,Department,Time Type
66,32300,42300,Berlin,Germany,Male,11/09/2018,Sales,Full time
67,85000,95000,Berlin,Germany,Male,11/09/2018,Sales,Full time
69,70000,80000,Berlin,Germany,Female,25/09/2018,Sales,Full time
70,42500,52500,Paris,France,Female,25/09/2018,Sales,Part time
71,45000,55000,Berlin,Germany,Male,11/10/2018,Sales,Full time
72,48000,58000,Berlin,Germany,Male,11/10/2018,Sales,Full time
73,70000,80000,Berlin,Germany,Male,25/10/2018,Sales,Full time
74,38880,48880,Berlin,Germany,Female,25/10/2018,Sales,Full time
75,75000,85000,Berlin,Germany,Male,11/11/2018,Sales,Full time
76,75000,85000,Berlin,Germany,Male,11/11/2018,Sales,Full time
77,40000,50000,Berlin,Germany,Male,25/11/2018,Sales,Full time
78,58300,68300,Berlin,Germany,Female,11/12/2018,Sales,Full time
80,84000,94000,Berlin,Germany,Female,11/03/2019,Sales,Full time
81,84000,94000,Berlin,Germany,Male,31/01/2019,Sales,Full time
82,76000,86000,Berlin,Germany,Female,03/03/2019,Sales,Full time
83,125000,135000,Berlin,Germany,Female,11/03/2019,Sales,Full time
84,69000,79000,Berlin,Germany,Male,08/03/2018,Sales,Full time
85,50400,60400,Berlin,Germany,Male,11/03/2019,Sales,Full time
86,37236,47236,Berlin,Germany,Female,25/03/2019,Sales,Full time
87,90000,100000,Berlin,Germany,Male,25/04/2019,Sales,Full time
88,77000,87000,Berlin,Germany,Male,25/05/2019,Sales,Full time
89,68200,78200,Berlin,Germany,Male,11/05/2019,Sales,Full time
90,90000,100000,Berlin,Germany,Male,11/04/2019,Sales,Full time
91,52500,62500,Berlin,Germany,Female,03/05/2019,Sales,Full time
93,56000,66000,Berlin,Germany,Female,11/06/2019,Sales,Full time
94,45000,55000,Berlin,Germany,Male,01/11/2019,Sales,Full time
95,78000,88000,Berlin,Germany,Male,11/07/2019,Sales,Full time
96,135000,145000,Berlin,Germany,Male,12/08/2019,Sales,Full time
97,65000,75000,Berlin,Germany,Female,11/09/2019,Sales,Full time
98,28000,38000,Berlin,Germany,Female,26/07/2019,Sales,Full time
99,92000,102000,Berlin,Germany,Female,11/08/2019,Sales,Full time
100,95000,105000,Berlin,Germany,Male,11/09/2019,Sales,Full time
101,66500,76500,Berlin,Germany,Female,11/09/2019,Sales,Full time
102,95000,105000,Berlin,Germany,Male,11/11/2019,Sales,Full time
103,78000,88000,Berlin,Germany,Male,11/07/2019,Sales,Full time
104,55000,65000,Berlin,Germany,Male,09/07/2019,Sales,Full time
105,90000,100000,Berlin,Germany,Male,09/09/2019,Sales,Full time
107,65000,75000,Berlin,Germany,Female,09/09/2019,Sales,Full time
108,100000,110000,Berlin,Germany,Male,09/11/2019,Sales,Full time
110,35000,45000,Berlin,Germany,Female,27/08/2019,Sales,Full time
111,85000,95000,Berlin,Germany,Diverse,23/11/2019,Sales,Full time
113,33000,43000,Berlin,Germany,Male,09/10/2019,Sales,Full time
114,80000,90000,Berlin,Germany,Male,21/11/2019,Sales,Full time
115,225000,235000,Berlin,Germany,Female,09/11/2019,Sales,Full time
116,45360,55360,Berlin,Germany,Male,09/10/2019,Sales,Full time
117,112000,122000,Berlin,Germany,Male,09/11/2019,Sales,Part time
118,36000,46000,Berlin,Germany,Female,23/10/2019,Sales,Full time
119,140000,150000,Boulder,United States of America,Male,22/10/2019,Sales,Full time
121,68250,78250,Berlin,Germany,Male,03/12/2019,Sales,Full time
122,120000,130000,Berlin,Germany,Male,09/11/2019,Sales,Full time
124,77840,87840,Berlin,Germany,Female,09/02/2020,Sales,Full time
125,67100,77100,Berlin,Germany,Female,26/11/2019,Sales,Full time
127,88000,98000,Berlin,Germany,Male,23/01/2020,Sales,Full time
128,68000,78000,Berlin,Germany,Female,14/02/2020,Sales,Full time
129,65000,75000,Berlin,Germany,Female,23/01/2020,Sales,Full time
132,80000,90000,Berlin,Germany,Male,09/03/2020,Sales,Full time
133,80000,90000,Berlin,Germany,Male,23/01/2020,Sales,Full time
134,60000,70000,Berlin,Germany,Male,23/01/2020,Sales,Full time
135,146000,156000,Berlin,Germany,Female,09/03/2020,Sales,Full time
136,71000,81000,Berlin,Germany,Male,09/03/2020,Sales,Full time
137,75000,85000,Berlin,Germany,Female,23/01/2020,Sales,Full time
138,36000,46000,Berlin,Germany,Male,23/01/2020,Sales,Full time
140,63000,73000,Berlin,Germany,Male,23/01/2020,Sales,Full time
141,90000,100000,Berlin,Germany,Female,23/02/2020,Sales,Full time
142,65000,75000,Berlin,Germany,Female,23/01/2020,Sales,Full time
144,74812,84812,Berlin,Germany,Male,09/03/2020,Sales,Full time
145,84000,94000,Berlin,Germany,Male,09/02/2020,Sales,Full time
146,130000,140000,Berlin,Germany,Male,09/03/2020,Sales,Full time
147,87000,97000,Berlin,Germany,Male,25/02/2020,Sales,Full time
148,112240,122240,Berlin,Germany,Male,29/01/2020,Sales,Full time
149,55000,65000,Berlin,Germany,Male,09/03/2020,Sales,Full time
153,60000,70000,Berlin,Germany,Female,09/03/2020,Sales,Full time
157,89100,99100,Berlin,Germany,Male,23/03/2020,Sales,Full time
160,78000,88000,Berlin,Germany,Male,01/09/2020,Sales,Full time
162,80000,90000,Berlin,Germany,Male,23/09/2016,Sales,Full time
163,79000,89000,Cologne,Germany,Male,09/06/2020,Sales,Full time
164,111173,121173,Berlin,Germany,Male,09/05/2020,Sales,Full time
165,65000,75000,Berlin,Germany,Female,09/08/2020,Sales,Full time
166,75010,85010,Berlin,Germany,Male,09/07/2020,Sales,Full time
167,85000,95000,Berlin,Germany,Male,09/08/2020,Sales,Full time
169,82000,92000,Berlin,Germany,Male,09/10/2020,Sales,Full time
170,86000,96000,Berlin,Germany,Male,09/09/2020,Sales,Full time
171,90000,100000,Berlin,Germany,Male,09/07/2020,Sales,Full time
172,82000,92000,Berlin,Germany,Male,23/08/2020,Sales,Full time
173,80000,90000,Berlin,Germany,Female,09/11/2020,Sales,Full time
174,70000,80000,Berlin,Germany,Male,17/12/2019,Sales,Full time
175,92000,102000,Berlin,Germany,Male,09/08/2020,Sales,Full time
176,82000,92000,Berlin,Germany,Male,09/08/2020,Sales,Full time
178,92000,102000,Berlin,Germany,Female,18/09/2020,Sales,Full time
179,50000,60000,Berlin,Germany,Male,23/09/2020,Sales,Full time
181,119700,129700,Berlin,Germany,Male,09/10/2020,Sales,Full time
182,70000,80000,Berlin,Germany,Male,09/10/2020,Sales,Full time
186,41400,51400,Berlin,Germany,Male,28/05/2019,Sales,Full time
188,180000,190000,Berlin,Germany,Male,10/11/2020,Sales,Full time
189,63000,73000,Berlin,Germany,Male,09/12/2020,Sales,Full time
191,81000,91000,Berlin,Germany,Male,23/11/2020,Sales,Full time
192,52000,62000,Berlin,Germany,Male,23/11/2020,Sales,Full time
194,75000,85000,Berlin,Germany,Male,09/12/2020,Sales,Full time
197,68800,78800,Berlin,Germany,Female,23/06/2021,Sales,Part time
200,19240,29240,Berlin,Germany,Male,09/05/2019,Sales,Part time
203,17985,27985,São Paulo,Brazil,Female,10/05/2017,Sales,Full time
206,22645,32645,São Paulo,Brazil,Male,25/07/2017,Sales,Full time
207,68000,78000,Berlin,Germany,Female,11/10/2017,Sales,Full time
209,80000,90000,Berlin,Germany,Male,19/12/2017,Sales,Full time
210,40000,50000,São Paulo,Brazil,Male,23/01/2018,Sales,Full time
212,105000,115000,Berlin,Germany,Male,24/04/2018,Sales,Full time
217,17985,27985,São Paulo,Brazil,Male,10/07/2018,Sales,Full time
220,80000,90000,Berlin,Germany,Male,15/01/2019,Sales,Full time
224,115000,125000,Berlin,Germany,Female,13/08/2019,Sales,Full time
227,31328,41328,São Paulo,Brazil,Male,10/09/2019,Sales,Full time
229,22591,32591,São Paulo,Brazil,Male,24/09/2019,Sales,Full time
230,31610,41610,São Paulo,Brazil,Male,09/10/2019,Sales,Full time
232,70000,80000,Berlin,Germany,Female,12/11/2019,Sales,Full time
233,63000,73000,Berlin,Germany,Female,26/11/2019,Sales,Full time
236,66500,76500,Berlin,Germany,Female,14/01/2020,Sales,Full time
237,17440,27440,São Paulo,Brazil,Male,14/01/2020,Sales,Full time
238,63000,73000,Berlin,Germany,Male,14/01/2020,Sales,Full time
240,18530,28530,São Paulo,Brazil,Male,11/02/2020,Sales,Full time
242,59000,69000,São Paulo,Brazil,Female,10/03/2020,Sales,Full time
244,22000,32000,São Paulo,Brazil,Male,14/04/2020,Sales,Full time
247,80000,90000,Berlin,Germany,Male,21/04/2020,Sales,Full time
249,75000,85000,Berlin,Germany,Male,22/09/2020,Sales,Full time
251,24380,34380,São Paulo,Brazil,Male,09/12/2020,Sales,Full time
252,72000,82000,Berlin,Germany,Female,09/01/2021,Sales,Full time
253,88000,98000,Berlin,Germany,Female,09/01/2021,Sales,Part time
257,46000,56000,Berlin,Germany,Female,09/01/2021,Sales,Full time
258,150000,160000,Berlin,Germany,Male,09/01/2021,Sales,Full time
259,75000,85000,Berlin,Germany,Female,16/02/2021,Sales,Full time
260,110000,120000,Berlin,Germany,Female,14/09/2021,Sales,Full time
261,69000,79000,Berlin,Germany,Male,16/02/2021,Sales,Full time
263,140400,150400,Berlin,Germany,Female,16/02/2021,Sales,Full time
264,35000,45000,Berlin,Germany,Male,02/03/2021,Sales,Full time
265,115000,125000,Berlin,Germany,Male,16/03/2021,Sales,Full time
266,81000,91000,Berlin,Germany,Male,16/03/2021,Sales,Full time
267,84000,94000,Berlin,Germany,Male,16/03/2021,Sales,Full time
268,100000,110000,Berlin,Germany,Male,16/03/2021,Sales,Full time
269,102000,112000,Berlin,Germany,Female,16/03/2021,Sales,Part time
271,105000,115000,Berlin,Germany,Male,16/03/2021,Sales,Full time
273,72000,82000,Berlin,Germany,Female,16/03/2021,Sales,Full time
274,82000,92000,Berlin,Germany,Male,16/06/2021,Sales,Full time
275,48000,58000,Berlin,Germany,Male,16/04/2021,Sales,Full time
277,53333,63333,Copenhagen,Denmark,Female,16/03/2021,Sales,Full time
279,17637,27637,São Paulo,Brazil,Male,16/03/2021,Sales,Full time
283,70000,80000,Berlin,Germany,Male,16/04/2021,Sales,Full time
284,78000,88000,Berlin,Germany,Male,16/04/2021,Sales,Full time
285,70000,80000,Berlin,Germany,Male,16/04/2021,Sales,Full time
286,72000,82000,Berlin,Germany,Female,16/04/2021,Sales,Full time
287,80000,90000,Berlin,Germany,Male,16/05/2021,Sales,Full time
288,120000,130000,Paris,France,Male,16/04/2021,Sales,Full time
289,75000,85000,Berlin,Germany,Male,16/04/2021,Sales,Full time
292,73000,83000,Berlin,Germany,Male,30/04/2021,Sales,Full time
293,95000,105000,Berlin,Germany,Male,30/04/2021,Sales,Full time
297,80000,90000,Berlin,Germany,Male,30/04/2021,Sales,Full time
298,19570,29570,São Paulo,Brazil,Male,27/04/2021,Sales,Full time
299,18540,28540,São Paulo,Brazil,Male,27/04/2021,Sales,Full time
301,98000,108000,Berlin,Germany,Male,16/05/2021,Sales,Full time
302,130000,140000,Berlin,Germany,Male,30/05/2021,Sales,Full time
303,82000,92000,Berlin,Germany,Male,30/05/2021,Sales,Full time
304,67000,77000,Berlin,Germany,Male,16/05/2021,Sales,Full time
305,84000,94000,Berlin,Germany,Male,16/05/2021,Sales,Full time
306,40000,50000,Berlin,Germany,Female,30/05/2021,Sales,Full time
307,72000,82000,Berlin,Germany,Female,16/05/2021,Sales,Full time
308,21000,31000,Berlin,Germany,Male,30/05/2021,Sales,Full time
312,80000,90000,Berlin,Germany,Female,18/05/2021,Sales,Full time
315,48000,58000,Berlin,Germany,Female,16/05/2021,Sales,Full time
316,73500,83500,Berlin,Germany,Female,16/06/2021,Sales,Part time
317,110000,120000,Berlin,Germany,Male,30/06/2021,Sales,Full time
318,100000,110000,Berlin,Germany,Male,16/06/2021,Sales,Full time
319,90000,100000,Berlin,Germany,Female,16/06/2021,Sales,Full time
321,75000,85000,Berlin,Germany,Male,30/06/2021,Sales,Full time
322,85000,95000,Berlin,Germany,Male,22/05/2021,Sales,Full time
323,72000,82000,Berlin,Germany,Female,05/07/2021,Sales,Full time
324,75000,85000,Berlin,Germany,Male,21/06/2021,Sales,Full time
325,82000,92000,Berlin,Germany,Male,05/06/2021,Sales,Full time
326,93000,103000,Berlin,Germany,Male,21/06/2021,Sales,Full time
328,130000,140000,Berlin,Germany,Male,21/06/2021,Sales,Full time
329,78000,88000,Berlin,Germany,Male,21/06/2021,Sales,Full time
330,58000,68000,Berlin,Germany,Male,21/06/2021,Sales,Full time
332,76000,86000,Remote SumUp Limited,Germany,Male,21/09/2021,Sales,Full time
333,68000,78000,Berlin,Germany,Male,21/06/2021,Sales,Full time
334,68000,78000,Berlin,Germany,Male,21/06/2021,Sales,Full time
335,70000,80000,Berlin,Germany,Male,05/08/2021,Sales,Full time
337,73000,83000,Berlin,Germany,Male,05/08/2021,Sales,Full time
338,80000,90000,Berlin,Germany,Male,23/07/2021,Sales,Full time
339,80000,90000,Berlin,Germany,Male,23/07/2021,Sales,Full time
340,90000,100000,Berlin,Germany,Male,05/09/2021,Sales,Full time
341,53000,63000,Berlin,Germany,Male,22/08/2021,Sales,Full time
342,84000,94000,Berlin,Germany,Male,22/08/2021,Sales,Full time
343,38000,48000,Berlin,Germany,Female,05/09/2021,Sales,Full time
344,80000,90000,Berlin,Germany,Female,06/08/2021,Sales,Full time
345,75000,85000,Berlin,Germany,Male,22/08/2021,Sales,Full time
346,75000,85000,Berlin,Germany,Male,22/10/2021,Sales,Full time
347,100000,110000,Berlin,Germany,Male,21/09/2021,Sales,Full time
348,100000,110000,Berlin,Germany,Female,05/09/2021,Sales,Full time
349,80000,90000,Berlin,Germany,Male,05/11/2021,Sales,Full time
351,80000,90000,Berlin,Germany,Male,05/09/2021,Sales,Full time
352,75000,85000,Berlin,Germany,Female,22/12/2021,Sales,Full time
353,88000,98000,Berlin,Germany,Male,22/12/2021,Sales,Full time
354,44000,54000,Berlin,Germany,Male,05/11/2021,Sales,Full time
355,50000,60000,Berlin,Germany,Male,05/10/2021,Sales,Full time
356,140000,150000,London,United Kingdom,Male,21/11/2021,Sales,Full time
357,75000,85000,Berlin,Germany,Female,22/01/2022,Sales,Full time
359,72000,82000,Berlin,Germany,Female,05/01/2022,Sales,Full time
360,18000,28000,São Paulo,Brazil,Male,06/11/2021,Sales,Full time
361,120000,130000,Berlin,Germany,Male,05/11/2021,Sales,Full time
363,90000,100000,Dublin,Ireland,Male,05/11/2021,Sales,Full time
364,78000,88000,Berlin,Germany,Male,21/11/2021,Sales,Full time
366,80000,90000,Berlin,Germany,Male,21/11/2021,Sales,Full time
367,78000,88000,Berlin,Germany,Male,19/02/2022,Sales,Full time
368,112500,122500,Berlin,Germany,Male,19/02/2022,Sales,Full time
369,78000,88000,Berlin,Germany,Male,19/02/2022,Sales,Full time
370,75000,85000,Berlin,Germany,Male,22/12/2021,Sales,Full time
371,105000,115000,Berlin,Germany,Male,22/12/2021,Sales,Full time
373,78000,88000,Berlin,Germany,Male,22/01/2022,Sales,Full time
374,70000,80000,Berlin,Germany,Female,05/01/2022,Sales,Full time
375,29402,39402,São Paulo,Brazil,Diverse,31/12/2021,Sales,Full time
378,70000,80000,Berlin,Germany,Male,19/02/2022,Sales,Full time
379,75000,85000,Berlin,Germany,Male,22/01/2022,Sales,Full time
380,80000,90000,Berlin,Germany,Male,30/01/2022,Sales,Full time
381,100000,110000,Berlin,Germany,Male,22/01/2022,Sales,Full time
382,145000,155000,London,United Kingdom,Male,11/03/2022,Sales,Full time
384,95000,105000,Berlin,Germany,Male,05/02/2022,Sales,Full time
386,72000,82000,Berlin,Germany,Male,05/02/2022,Sales,Full time
387,85000,95000,Berlin,Germany,Male,19/02/2022,Sales,Full time
406,100000,110000,London,United Kingdom,Male,22/05/2012,Administration,Full time
407,140000,150000,Berlin,Germany,Male,14/01/2012,Administration,Full time
408,152000,162000,Berlin,Germany,Male,27/01/2012,Administration,Full time
409,260000,270000,Berlin,Germany,Male,27/01/2012,Administration,Full time
410,220000,230000,Boulder,United States of America,Male,18/02/2012,Administration,Full time
411,140000,150000,Berlin,Germany,Male,12/03/2012,Administration,Full time
412,20833,30833,Sofia,Bulgaria,Male,30/03/2012,Administration,Full time
413,152000,162000,Berlin,Germany,Male,09/04/2012,Administration,Full time
414,175000,185000,Dublin,Ireland,Male,16/06/2012,Administration,Full time
415,120000,130000,Berlin,Germany,Male,07/09/2012,Administration,Full time
417,140000,150000,Dublin,Ireland,Male,24/08/2018,Administration,Full time
419,25000,35000,Sofia,Bulgaria,Female,22/07/2013,Administration,Full time
421,20115,30115,Sofia,Bulgaria,Male,06/03/2015,Administration,Full time
422,49500,59500,Berlin,Germany,Female,05/07/2016,Administration,Part time
423,47610,57610,Berlin,Germany,Male,10/07/2016,Administration,Full time
426,90000,100000,Dublin,Ireland,Male,24/03/2017,Administration,Full time
427,36050,46050,Dublin,Ireland,Female,27/05/2017,Administration,Full time
428,39376,49376,Berlin,Germany,Male,22/07/2017,Administration,Part time
429,29000,39000,Dublin,Ireland,Male,16/05/2017,Administration,Full time
430,46000,56000,Dublin,Ireland,Male,25/08/2017,Administration,Full time
432,53500,63500,Dublin,Ireland,Male,20/08/2017,Administration,Full time
439,37000,47000,Dublin,Ireland,Male,23/12/2017,Administration,Full time
440,43200,53200,Dublin,Ireland,Male,29/12/2017,Administration,Full time
441,29000,39000,London,United Kingdom,Female,09/02/2018,Administration,Full time
444,25000,35000,Sofia,Bulgaria,Male,22/03/2018,Administration,Full time
446,275000,285000,Cologne,Germany,Male,19/02/2018,Administration,Full time
447,38880,48880,Berlin,Germany,Male,05/03/2018,Administration,Full time
452,29000,39000,London,United Kingdom,Female,18/05/2018,Administration,Full time
454,37000,47000,London,United Kingdom,Female,29/06/2018,Administration,Full time
455,44000,54000,Berlin,Germany,Female,25/05/2018,Administration,Full time
456,92000,102000,Berlin,Germany,Female,22/07/2018,Administration,Full time
460,125000,135000,Berlin,Germany,Male,21/09/2018,Administration,Full time
461,55000,65000,Berlin,Germany,Male,21/09/2018,Administration,Full time
462,50000,60000,Berlin,Germany,Male,21/09/2018,Administration,Full time
465,34000,44000,London,United Kingdom,Female,10/11/2018,Administration,Full time
466,40500,50500,Berlin,Germany,Male,05/11/2018,Administration,Full time
468,40280,50280,Dublin,Ireland,Male,20/10/2018,Administration,Full time
469,50000,60000,Dublin,Ireland,Female,02/11/2018,Administration,Full time
472,77000,87000,Berlin,Germany,Male,22/12/2018,Administration,Full time
474,78000,88000,Dublin,Ireland,Female,05/01/2019,Administration,Full time
477,130000,140000,Berlin,Germany,Female,05/01/2018,Administration,Full time
479,42500,52500,Dublin,Ireland,Female,08/02/2019,Administration,Full time
480,33000,43000,Berlin,Germany,Male,05/03/2019,Administration,Part time
481,103554,113554,Lithuania,Lithuania,Female,08/03/2019,Administration,Full time
482,43200,53200,Dublin,Ireland,Male,23/02/2019,Administration,Full time
487,47300,57300,Lithuania,Lithuania,Male,22/04/2019,Administration,Full time
488,52000,62000,Dublin,Ireland,Female,29/03/2019,Administration,Full time
491,32000,42000,Dublin,Ireland,Male,18/05/2019,Administration,Full time
492,110000,120000,Berlin,Germany,Male,05/11/2019,Administration,Full time
493,42500,52500,Dublin,Ireland,Female,23/06/2019,Administration,Full time
494,96000,106000,Berlin,Germany,Female,05/09/2019,Administration,Full time
495,94500,104500,Berlin,Germany,Male,22/07/2019,Administration,Full time
496,75064,85064,Lithuania,Lithuania,Female,16/08/2019,Administration,Full time
499,93090,103090,Dublin,Ireland,Male,06/09/2019,Administration,Full time
500,48000,58000,Berlin,Germany,Female,22/10/2019,Administration,Full time
505,31500,41500,Copenhagen,Denmark,Female,01/11/2019,Administration,Full time
506,69000,79000,Dublin,Ireland,Female,29/11/2019,Administration,Full time
507,69000,79000,Dublin,Ireland,Female,24/11/2019,Administration,Full time
508,45000,55000,Berlin,Germany,Female,22/12/2019,Administration,Full time
510,63000,73000,London,United Kingdom,Male,21/11/2019,Administration,Part time
513,92000,102000,Berlin,Germany,Female,22/03/2020,Administration,Full time
517,68000,78000,Berlin,Germany,Female,14/02/2020,Administration,Full time
519,62000,72000,Berlin,Germany,Female,20/02/2020,Administration,Full time
520,42000,52000,Berlin,Germany,Female,20/02/2020,Administration,Full time
521,225000,235000,Berlin,Germany,Male,28/02/2020,Administration,Full time
522,48000,58000,Dublin,Ireland,Female,14/02/2020,Administration,Part time
524,130000,140000,Berlin,Germany,Female,22/03/2020,Administration,Full time
525,105000,115000,Berlin,Germany,Female,21/04/2020,Administration,Full time
526,85000,95000,Berlin,Germany,Female,05/03/2020,Administration,Full time
527,90000,100000,Berlin,Germany,Female,22/05/2020,Administration,Full time
528,64800,74800,Dublin,Ireland,Female,13/03/2020,Administration,Part time
529,57000,67000,Remote SumUp Limited,Germany,Female,22/12/2021,Administration,Full time
530,96000,106000,Berlin,Germany,Male,22/03/2020,Administration,Full time
531,92800,102800,Dublin,Ireland,Female,22/03/2020,Administration,Part time
532,270000,280000,Dublin,Ireland,Male,05/04/2020,Administration,Full time
533,156800,166800,Boulder,United States of America,Male,22/03/2020,Administration,Full time
534,32000,42000,Dublin,Ireland,Female,20/03/2020,Administration,Full time
535,120000,130000,Luxembourg,Luxembourg,Female,21/04/2020,Administration,Full time
536,86110,96110,Dublin,Ireland,Female,17/04/2020,Administration,Full time
537,28704,38704,Lithuania,Lithuania,Female,24/04/2020,Administration,Full time
538,29532,39532,Lithuania,Lithuania,Female,24/04/2020,Administration,Full time
539,200000,210000,Berlin,Germany,Male,12/06/2020,Administration,Full time
540,85000,95000,Berlin,Germany,Male,22/07/2020,Administration,Full time
541,34800,44800,Berlin,Germany,Female,05/09/2020,Administration,Full time
543,22011,32011,London,United Kingdom,Male,21/09/2020,Administration,Full time
544,38760,48760,Lithuania,Lithuania,Female,09/10/2020,Administration,Full time
546,85000,95000,Berlin,Germany,Female,21/09/2020,Administration,Full time
547,69504,79504,Lithuania,Lithuania,Female,24/10/2020,Administration,Full time
548,45000,55000,Dublin,Ireland,Female,05/10/2020,Administration,Full time
550,45000,55000,Berlin,Germany,Female,22/10/2020,Administration,Full time
551,54000,64000,Berlin,Germany,Female,22/10/2020,Administration,Full time
553,47000,57000,Berlin,Germany,Female,05/01/2020,Administration,Full time
554,53000,63000,Berlin,Germany,Female,05/11/2020,Administration,Full time
555,78800,88800,Berlin,Germany,Male,05/11/2020,Administration,Part time
556,125000,135000,Berlin,Germany,Female,21/11/2020,Administration,Full time
557,42000,52000,Berlin,Germany,Female,21/11/2020,Administration,Full time
558,40000,50000,London,United Kingdom,Female,27/11/2020,Administration,Part time
559,46980,56980,Lithuania,Lithuania,Male,21/11/2020,Administration,Full time
560,42000,52000,Berlin,Germany,Male,29/03/2019,Administration,Full time
561,108000,118000,London,United Kingdom,Female,29/08/2020,Administration,Full time
562,78000,88000,Boulder,United States of America,Female,08/10/2017,Administration,Full time
563,275000,285000,Boulder,United States of America,Male,31/08/2018,Administration,Full time
564,88200,98200,Boulder,United States of America,Male,07/12/2018,Administration,Full time
565,96000,106000,Boulder,United States of America,Male,28/06/2019,Administration,Full time
566,300000,310000,Boulder,United States of America,Male,23/12/2019,Administration,Full time
567,53000,63000,Berlin,Germany,Female,22/10/2020,Administration,Full time
572,18317,28317,São Paulo,Brazil,Female,09/06/2017,Administration,Full time
579,23108,33108,São Paulo,Brazil,Male,22/04/2018,Administration,Full time
588,18435,28435,São Paulo,Brazil,Male,06/11/2018,Administration,Full time
592,71096,81096,São Paulo,Brazil,Female,01/03/2019,Administration,Full time
593,55388,65388,São Paulo,Brazil,Female,29/03/2019,Administration,Full time
594,31805,41805,São Paulo,Brazil,Male,05/04/2019,Administration,Full time
595,17509,27509,São Paulo,Brazil,Male,26/04/2019,Administration,Full time
599,19077,29077,São Paulo,Brazil,Male,21/06/2019,Administration,Full time
601,72000,82000,Berlin,Germany,Female,22/07/2019,Administration,Full time
602,38150,48150,São Paulo,Brazil,Female,26/07/2019,Administration,Full time
606,25750,35750,São Paulo,Brazil,Female,21/09/2019,Administration,Full time
610,120000,130000,Berlin,Germany,Male,22/11/2019,Administration,Full time
614,18159,28159,São Paulo,Brazil,Male,03/01/2020,Administration,Full time
615,67200,77200,Berlin,Germany,Male,03/01/2020,Administration,Full time
616,98906,108906,São Paulo,Brazil,Male,24/01/2020,Administration,Full time
622,21996,31996,São Paulo,Brazil,Male,27/03/2020,Administration,Full time
624,24525,34525,São Paulo,Brazil,Female,27/03/2020,Administration,Full time
627,37362,47362,São Paulo,Brazil,Female,24/10/2020,Administration,Full time
